date_of_Payment,account_Number,branch_ID,bank_ID,transaction_ID,transaction_Amount,mode_of_Transfer1,date_of_Submission,invoice_Due_Date,remittance_Number,total_due_Amount,amount_Paid,balance_Amount,mode_of_Transfer2,status
24/12/2018,4489858858391470,SIL362,WF012,TRN61068,3006,account to account,06/01/2019,13/01/2019,PMT-101068,3920,3006,914,account to account,Approved
31/12/2019,4458237294973340,BEL16,WF012,EX161069,37824,"cash,debit/credit card",15/01/2020,30/01/2020,PMT-101069,38156,37824,332,"cash,debit/credit card",Rejected
28/09/2019,4904477933916270,SIL362,CITI012,ADB61070,32868,usd service,28/09/2019,18/10/2019,PMT-101070,33322,32868,454,usd service,Approved
30/09/2019,4430000000000000,MAR263,MUFG012,CCS61071,18012,usd service,30/09/2019,03/10/2019,PMT-101071,19000,18012,988,usd service,Approved
15/08/2019,4180000000000000,BEL16,WF012,TRN61072,4435,"account,card,cash to cash",15/08/2019,02/09/2019,PMT-101072,4784,4435,349,"account,card,cash to cash",Rejected
09/02/2020,4330710538454070,ITS03,BOA012,CCS61073,353,"cash,cash to account",15/02/2020,11/02/2020,PMT-101073,1132,353,779,"cash,cash to account",Approved
13/03/2020,4275384634746050,BEL16,AE012,EX061074,34460,"account,account to cash",15/03/2020,02/04/2020,PMT-101074,35268,34460,808,"account,account to cash",Rejected
24/07/2019,4730056511858720,BEL16,BARC012,ADB61075,6608,account to account,15/07/2019,29/07/2019,PMT-101075,7330,6608,722,account to account,Rejected
25/11/2019,4310965278942460,BEL16,BOA012,CCS61076,30902,account to account,25/11/2019,07/12/2019,PMT-101076,31206,30902,304,account to account,Approved
07/11/2019,4550000000000000,GPA01,HSBC012,TRN61077,37330,"bank account transfer,cash,mobile money",28/10/2019,09/11/2019,PMT-101077,37599,37330,269,"bank account transfer,cash,mobile money",Approved
19/07/2019,4130000000000000,SIL362,MUFG012,TRN61078,8985,mobile,28/07/2019,24/07/2019,PMT-101078,9105,8985,120,mobile,Approved
12/06/2019,4640000000000000,CCS08,MUFG012,CCS61079,21155,"bank account transfer,debit card",30/06/2019,03/07/2019,PMT-101079,21315,21155,160,"bank account transfer,debit card",Approved
27/09/2019,4865123733298850,BEL16,DEU012,TRN61080,38033,door to account,15/10/2019,11/10/2019,PMT-101080,39022,38033,989,door to account,Rejected
25/01/2020,4650000000000000,MAJ962,BMO012,EX061081,38445,prepaid card,25/01/2020,02/02/2020,PMT-101081,39254,38445,809,prepaid card,Rejected
30/04/2019,4350000000000000,SIL362,BARC012,TRN61082,27450,account to account,15/05/2019,23/05/2019,PMT-101082,27557,27450,107,account to account,Approved
25/12/2019,4160000000000000,PAN27,Nort012,CCS61083,19953,usd service,25/12/2019,11/01/2020,PMT-101083,20555,19953,602,usd service,Rejected
25/09/2019,4820000000000000,SIL362,SSC012,TRN61084,25139,"bank account transfer,cash,mobile money",25/09/2019,02/10/2019,PMT-101084,26113,25139,974,"bank account transfer,cash,mobile money",Rejected
07/10/2019,4270000000000000,HEB18,AE012,EX061085,36473,cash,25/10/2019,09/11/2019,PMT-101085,36985,36473,512,cash,Approved
05/04/2019,4160000000000000,SIL362,GMS012,TRN61086,4472,"account,card,cash to cash",15/04/2019,21/04/2019,PMT-101086,4792,4472,320,"account,card,cash to cash",Rejected
09/11/2019,4350000000000000,MAR263,HSBC012,CCS61087,12892,"cash,debit/credit card",15/11/2019,29/11/2019,PMT-101087,13152,12892,260,"cash,debit/credit card",Approved
25/10/2019,4440000000000000,SIL362,BARC012,CCS61088,36684,"cash to account,credit/debit card service",25/10/2019,31/10/2019,PMT-101088,37637,36684,953,"cash to account,credit/debit card service",Rejected
28/05/2019,4400000000000000,SIL362,MS012,TRN61089,31132,door to account,15/06/2019,25/06/2019,PMT-101089,31390,31132,258,door to account,Rejected
23/06/2019,4904477933916270,PAN27,WF012,ADB61090,24882,usd service,28/06/2019,01/07/2019,PMT-101090,25159,24882,277,usd service,Rejected
07/05/2019,4486019260868800,CCS08,Nort012,TRN61091,16960,"account,cash to cash",15/05/2019,31/05/2019,PMT-101091,17129,16960,169,"account,cash to cash",Approved
15/12/2019,4250000000000000,SIL362,MS012,CCS61092,30584,"bank account transfer,debit card",15/12/2019,23/12/2019,PMT-101092,31465,30584,881,"bank account transfer,debit card",Approved
21/12/2019,4350000000000000,HEB18,HSBC012,EX061093,8609,door to door,15/12/2019,25/12/2019,PMT-101093,8776,8609,167,door to door,Rejected
13/04/2019,4571487833576270,MAR263,BOA012,ADB61094,30276,"account to account,door to door",15/04/2019,29/04/2019,PMT-101094,30548,30276,272,"account to account,door to door",Approved
28/05/2019,4880000000000000,BEL16,BMO012,CCS61095,18831,"account,cash to account",28/05/2019,09/06/2019,PMT-101095,19181,18831,350,"account,cash to account",Approved
03/01/2019,4280000000000000,HEB18,BOA012,CCS61096,13487,mobile,03/01/2019,10/01/2019,PMT-101096,13704,13487,217,mobile,Approved
12/08/2019,4350000000000000,CCS08,HSBC012,EX061097,19255,cash,25/08/2019,06/09/2019,PMT-101097,19963,19255,708,cash,Rejected
14/12/2020,4130000000000000,HEB18,RBC012,ADB61098,24828,"account to account,door to door",29/12/2020,18/01/2021,PMT-101098,25158,24828,330,door to door,Approved
19/03/2019,4275384634746050,GPA01,SSC012,TRN61099,964,cash to account,25/03/2019,06/04/2019,PMT-101099,1087,964,123,cash to account,Rejected
03/01/2019,4450000000000000,GPA01,RBC012,CCS61100,22896,"cash,debit/credit card",06/01/2019,14/01/2019,PMT-101100,23423,22896,527,"cash,debit/credit card",Approved
15/06/2019,4480000000000000,HEB18,AE012,EX061101,21504,cash,15/06/2019,03/07/2019,PMT-101101,21862,21504,358,cash,Rejected
06/12/2019,4130000000000000,HEB18,BOA012,ADB61102,6122,eur service,15/12/2019,21/12/2019,PMT-101102,6996,6122,874,eur service,Approved
28/06/2019,4357820946481790,MAJ962,RBC012,CCS61103,13297,door to account,25/06/2019,12/07/2019,PMT-101103,14209,13297,912,door to account,Rejected
31/03/2019,4300000000000000,BEL16,UBS012,TRN61104,25790,"bank account transfer,debit card",31/03/2019,12/04/2019,PMT-101104,26060,25790,270,"bank account transfer,debit card",Rejected
28/05/2019,4430000000000000,CCS08,GMS012,EX061105,16371,"cash,cash to account",28/05/2019,02/06/2019,PMT-101105,16951,16371,580,"cash,cash to account",Approved
19/10/2019,4490000000000000,ITS03,BOA012,ADB61106,14573,"account to account,door to door",28/10/2019,05/11/2019,PMT-101106,15190,14573,617,"account to account,door to door",Approved
15/03/2020,4260000000000000,ITS03,DEU012,CCS61107,21278,eur service,15/03/2020,25/03/2020,PMT-101107,21514,21278,236,eur service,Approved
25/01/2020,4260000000000000,ITS03,CITI012,CCS61108,33986,cash,25/01/2020,04/02/2020,PMT-101108,34578,33986,592,cash,Approved
07/10/2019,4330710538454070,SIL362,BARC012,TRN61109,15311,"account,cash to account",28/09/2019,04/10/2019,PMT-101109,15457,15311,146,"account,cash to account",Approved
20/07/2019,4284399850715240,SIL362,JPM012,ADB61110,11085,"account,account to cash",25/07/2019,10/08/2019,PMT-101110,11419,11085,334,"account,account to cash",Rejected
24/11/2019,4458237294973340,SIL362,DEU012,CCS61111,23530,"account to account,door to door",28/11/2019,17/12/2019,PMT-101111,23681,23530,151,"account to account,door to door",Rejected
15/01/2020,4270000000000000,MAJ962,JPM012,CCS61112,2282,door to door,15/01/2020,04/02/2020,PMT-101112,2434,2282,152,door to door,Approved
16/02/2020,4470000000000000,PAN27,GMS012,EX161113,13948,"bank account transfer,debit card",28/02/2020,01/03/2020,PMT-101113,14283,13948,335,"bank account transfer,debit card",Approved
30/12/2018,4150000000000000,CCS08,GMS012,TRN61114,32693,cash to account,09/01/2019,22/01/2019,PMT-101114,33239,32693,546,cash to account,Approved
31/01/2020,4708814514140940,SIL362,UBS012,CCS61115,39019,"bank account transfer,debit card",31/01/2020,15/02/2020,PMT-101115,39591,39019,572,"bank account transfer,debit card",Approved
28/12/2019,4619488866261890,BEL16,JPM012,TRN61116,3130,"account,account to cash",02/01/2020,08/01/2020,PMT-101116,3322,3130,192,"account,account to cash",Approved
25/07/2019,4810000000000000,ITS03,JPM012,TRN61117,14951,"bank account transfer,cash,mobile money",28/07/2019,13/08/2019,PMT-101117,15483,14951,532,"bank account transfer,cash,mobile money",Rejected
09/06/2019,4790000000000000,CCS08,DEU012,EX161118,19297,account to account,25/05/2019,09/06/2019,PMT-101118,19938,19297,641,account to account,Approved
11/05/2019,4871073844665610,CCS08,MS012,ADB61119,39471,cash to account,25/05/2019,02/06/2019,PMT-101119,39827,39471,356,cash to account,Approved
15/05/2019,4310965278942460,CCS08,BMO012,CCS61120,17198,"bank account transfer,cash,mobile money",15/05/2019,17/05/2019,PMT-101120,18091,17198,893,"bank account transfer,cash,mobile money",Approved
08/01/2019,4696544390601290,PAN27,BARC012,TRN61121,8046,cash to account,08/01/2019,23/01/2019,PMT-101121,8728,8046,682,cash to account,Rejected
14/08/2019,4865123733298850,ITS03,JPM012,CCS61122,31367,"account,card,cash to cash",28/08/2019,08/09/2019,PMT-101122,32207,31367,840,"account,card,cash to cash",Rejected
15/09/2019,4571487833576270,CCS08,BNP012,EX061123,37312,"card,cash to cash",15/09/2019,24/09/2019,PMT-101123,37381,37312,69,"card,cash to cash",Approved
12/06/2019,4170000000000000,ITS03,HSBC012,ADB61124,7242,usd service,31/05/2019,06/06/2019,PMT-101124,7465,7242,223,usd service,Approved
03/10/2019,4750000000000000,CCS08,RBC012,CCS61125,16691,cash,15/10/2019,29/10/2019,PMT-101125,17138,16691,447,cash,Approved
25/01/2020,4571487833576270,HEB18,AE012,TRN61126,29667,prepaid card,28/01/2020,24/01/2020,PMT-101126,30642,29667,975,prepaid card,Rejected
28/10/2019,4461330335322460,SIL362,BNP012,TRN61127,25211,"account to account,door to door",28/10/2019,30/10/2019,PMT-101127,25644,25211,433,"account to account,door to door",Approved
31/10/2019,4210000000000000,CCS08,MUFG012,CCS61128,25798,"account,card,cash to cash",15/11/2019,23/11/2019,PMT-101128,26059,25798,261,"account,card,cash to cash",Approved
18/11/2019,4470000000000000,PAN27,SSC012,TRN61129,9270,mobile money,25/11/2019,09/12/2019,PMT-101129,10232,9270,962,mobile money,Approved
27/02/2019,4540000000000000,HEB18,WF012,EX061130,36225,"bank account transfer,debit card",15/03/2019,22/03/2019,PMT-101130,36285,36225,60,"bank account transfer,debit card",Approved
01/10/2019,4590000000000000,SIL362,BARC012,TRN61131,27551,cash to account,15/10/2019,22/10/2019,PMT-101131,28202,27551,651,cash to account,Approved
12/06/2019,4210000000000000,BEL16,BOA012,CCS61132,4115,"bank account transfer,debit card",28/06/2019,15/07/2019,PMT-101132,4783,4115,668,"bank account transfer,debit card",Approved
25/02/2020,4865123733298850,MAR263,UBS012,TRN61133,11351,door to door,25/02/2020,11/03/2020,PMT-101133,12174,11351,823,door to door,Approved
15/06/2019,4904477933916270,PAN27,CITI012,EX061134,30536,cash,15/06/2019,01/07/2019,PMT-101134,31183,30536,647,cash,Approved
15/09/2019,4210000000000000,ITS03,MS012,TRN61135,28890,"bank account transfer,debit card",15/09/2019,02/10/2019,PMT-101135,29024,28890,134,"bank account transfer,debit card",Approved
22/09/2019,4275384634746050,CCS08,BOA012,CCS61136,36586,eur service,15/09/2019,05/10/2019,PMT-101136,37209,36586,623,eur service,Rejected
28/10/2019,4904477933916270,PAN27,Nort012,CCS61137,1756,door to door,15/11/2019,11/11/2019,PMT-101137,2750,1756,994,door to door,Rejected
11/11/2019,4350000000000000,ITS03,SSC012,TRN61138,37208,"account,account to cash",25/11/2019,01/12/2019,PMT-101138,38156,37208,948,"account,account to cash",Rejected
28/05/2019,4850000000000000,SIL362,BARC012,ADB61139,29823,door to account,28/05/2019,03/06/2019,PMT-101139,30491,29823,668,door to account,Rejected
04/09/2019,4750000000000000,SIL362,CITI012,TRN61140,25378,usd service,15/09/2019,18/09/2019,PMT-101140,25843,25378,465,usd service,Rejected
15/10/2019,4420000000000000,BEL16,Nort012,CCS61141,35486,cash,15/10/2019,03/11/2019,PMT-101141,35841,35486,355,cash,Approved
25/11/2019,4250000000000000,MAJ962,SSC012,EX061142,24537,prepaid card,28/11/2019,04/12/2019,PMT-101142,25256,24537,719,prepaid card,Approved
26/02/2020,4780000000000000,SIL362,BOA012,ADB61143,17362,mobile money,15/02/2020,22/02/2020,PMT-101143,17539,17362,177,mobile money,Rejected
10/05/2019,4860000000000000,HEB18,MUFG012,CCS61144,27848,account to account,28/04/2019,13/05/2019,PMT-101144,28642,27848,794,account to account,Approved
22/03/2020,4418568818305560,ITS03,DEU012,CCS61145,37537,"cash to cash,credit/debit card service",15/03/2020,29/03/2020,PMT-101145,38140,37537,603,"cash to cash,credit/debit card service",Rejected
21/05/2019,4500000000000000,BEL16,SSC012,EX061146,21088,"bank account transfer,debit card",15/05/2019,20/05/2019,PMT-101146,21602,21088,514,"bank account transfer,debit card",Approved
28/04/2019,4190000000000000,PAN27,Nort012,ADB61147,20011,"cash,debit/credit card",28/04/2019,06/05/2019,PMT-101147,20282,20011,271,"cash,debit/credit card",Rejected
12/10/2019,4380000000000000,MAJ962,BMO012,TRN61148,36221,cash,28/10/2019,16/11/2019,PMT-101148,37185,36221,964,cash,Approved
30/12/2018,4320000000000000,PAN27,Nort012,CCS61149,9846,"cash to account,credit/debit card service",12/01/2019,19/01/2019,PMT-101149,10659,9846,813,"cash to account,credit/debit card service",Approved
18/01/2020,4619488866261890,BEL16,GMS012,EX061150,15063,prepaid card,25/01/2020,31/01/2020,PMT-101150,15285,15063,222,prepaid card,Approved
08/01/2019,4870000000000000,ITS03,MS012,ADB61151,23915,"account to account,door to door",08/01/2019,20/01/2019,PMT-101151,24597,23915,682,"account to account,door to door",Approved
09/06/2019,4696544390601290,PAN27,BOA012,CCS61152,30788,cash to account,25/05/2019,27/05/2019,PMT-101152,31649,30788,861,cash to account,Approved
11/02/2020,4860000000000000,SIL362,GMS012,TRN61153,3142,cash,28/02/2020,10/03/2020,PMT-101153,3553,3142,411,"account,card,cash to cash",Approved
28/02/2020,4300000000000000,MAJ962,HSBC012,EX061154,12953,cash,28/02/2020,11/03/2020,PMT-101154,13878,12953,925,cash,Rejected
10/09/2019,4458237294973340,SIL362,CITI012,ADB61155,16966,cash,28/08/2019,07/09/2019,PMT-101155,17684,16966,718,cash,Approved
08/05/2019,4590000000000000,SIL362,BOA012,CCS61156,8478,"cash to cash,credit/debit card service",15/05/2019,21/05/2019,PMT-101156,9003,8478,525,"cash to cash,credit/debit card service",Approved
23/01/2020,4850000000000000,CCS08,BOA012,CCS61157,18443,cash,28/01/2020,10/02/2020,PMT-101157,19429,18443,986,cash,Rejected
11/06/2019,4520000000000000,SIL362,UBS012,TRN61158,7845,cash to account,28/05/2019,30/05/2019,PMT-101158,8388,7845,543,cash to account,Approved
15/01/2020,4280000000000000,PAN27,BOA012,ADB61159,17666,"card,cash to cash",15/01/2020,25/01/2020,PMT-101159,18144,17666,478,"card,cash to cash",Approved
21/05/2019,4300000000000000,SIL362,DEU012,CCS61160,32557,account to account,28/05/2019,24/05/2019,PMT-101160,33418,32557,861,account to account,Approved
13/04/2019,4160000000000000,ITS03,BOA012,CCS61161,17184,prepaid card,15/04/2019,24/04/2019,PMT-101161,17993,17184,809,prepaid card,Approved
16/03/2019,4210000000000000,SIL362,DEU012,EX161162,20884,"bank account transfer,debit card",28/03/2019,08/04/2019,PMT-101162,21801,20884,917,"bank account transfer,debit card",Approved
28/01/2020,4320000000000000,SIL362,JPM012,TRN61163,14871,"cash to cash,credit/debit card service",28/01/2020,12/02/2020,PMT-101163,14951,14871,80,"cash to cash,credit/debit card service",Rejected
25/10/2019,4240000000000000,ITS03,JPM012,CCS61164,4325,"bank account transfer,debit card",25/10/2019,10/11/2019,PMT-101164,4549,4325,224,"bank account transfer,debit card",Rejected
06/06/2019,4275384634746050,GPA01,BNP012,TRN61165,17898,"bank account transfer,debit card",15/06/2019,22/06/2019,PMT-101165,18527,17898,629,"bank account transfer,debit card",Rejected
21/03/2019,4387350758070690,PAN27,WF012,TRN61166,19527,account to account,28/03/2019,07/04/2019,PMT-101166,19766,19527,239,account to account,Rejected
13/09/2019,4310965278942460,CCS08,Nort012,EX161167,20516,prepaid card,25/09/2019,27/09/2019,PMT-101167,21143,20516,627,prepaid card,Approved
05/08/2019,4210000000000000,PAN27,Nort012,ADB61168,10843,"account to account,door to door",15/08/2019,01/09/2019,PMT-101168,10968,10843,125,"account to account,door to door",Approved
23/12/2018,4640000000000000,SIL362,DEU012,CCS61169,13294,door to door,05/01/2019,08/01/2019,PMT-101169,13758,13294,464,door to door,Approved
20/03/2019,4260000000000000,ITS03,BNP012,TRN61170,31745,prepaid card,28/03/2019,30/03/2019,PMT-101170,32156,31745,411,prepaid card,Approved
15/03/2020,4465487619421600,GPA01,DEU012,CCS61171,36624,"account to account,door to door",15/03/2020,23/03/2020,PMT-101171,37384,36624,760,"account to account,door to door",Approved
28/04/2019,4689180256780640,SIL362,BARC012,EX061172,29804,"account,cash to account",28/04/2019,16/05/2019,PMT-101172,30677,29804,873,"account,cash to account",Approved
10/09/2019,4418568818305560,ITS03,MUFG012,ADB61173,31009,"card,cash to cash",28/09/2019,01/10/2019,PMT-101173,31715,31009,706,"card,cash to cash",Rejected
10/11/2019,4840000000000000,PAN27,BOA012,CCS61174,14832,"cash to cash,credit/debit card service",15/11/2019,20/11/2019,PMT-101174,15566,14832,734,"cash to cash,credit/debit card service",Approved
15/03/2019,4380000000000000,CCS08,JPM012,TRN61175,14960,"cash,debit/credit card",15/03/2019,31/03/2019,PMT-101175,15055,14960,95,"cash,debit/credit card",Rejected
29/03/2019,4280000000000000,BEL16,CITI012,TRN61176,20514,prepaid card,31/03/2019,18/04/2019,PMT-101176,20826,20514,312,prepaid card,Rejected
04/01/2019,4250000000000000,BEL16,SSC012,CCS61177,24788,"bank account transfer,debit card",04/01/2019,18/01/2019,PMT-101177,24906,24788,118,"bank account transfer,debit card",Rejected
10/09/2019,4310965278942460,ITS03,BMO012,TRN61178,32433,door to account,15/09/2019,05/10/2019,PMT-101178,32880,32433,447,door to account,Rejected
28/07/2019,4865123733298850,SIL362,BNP012,EX061179,3210,prepaid card,15/08/2019,01/09/2019,PMT-101179,3308,3210,98,usd service,Rejected
29/12/2020,4730056511858720,ITS03,GMS012,TRN61180,26288,account to account,29/12/2020,17/01/2021,PMT-101180,26712,26288,424,account to account,Rejected
28/04/2019,4357820946481790,SIL362,HSBC012,CCS61181,22940,"bank account transfer,debit card",15/05/2019,25/05/2019,PMT-101181,23936,22940,996,"bank account transfer,debit card",Approved
22/07/2019,4357820946481790,ITS03,BOA012,TRN61182,12657,account to account,31/07/2019,13/08/2019,PMT-101182,12826,12657,169,account to account,Approved
15/07/2019,4275384634746050,BEL16,UBS012,EX061183,19841,"account,cash to cash",15/07/2019,01/08/2019,PMT-101183,20596,19841,755,"cash,cash to account",Rejected
10/01/2019,4630000000000000,HEB18,DEU012,TRN61184,30496,door to door,10/01/2019,25/01/2019,PMT-101184,30954,30496,458,door to door,Approved
12/04/2019,4500000000000000,SIL362,SSC012,CCS61185,21622,"account,card,cash to cash",28/04/2019,04/05/2019,PMT-101185,22060,21622,438,"account,card,cash to cash",Rejected
28/07/2019,4380000000000000,MAR263,AE012,CCS61186,32929,eur service,28/07/2019,11/08/2019,PMT-101186,33911,32929,982,eur service,Approved
15/02/2020,4708814514140940,MAJ962,MS012,TRN61187,5908,"bank account transfer,debit card",15/02/2020,01/03/2020,PMT-101187,6104,5908,196,mobile,Rejected
02/08/2019,4480000000000000,BEL16,DEU012,ADB61188,33691,mobile money,15/08/2019,17/08/2019,PMT-101188,34061,33691,370,mobile money,Approved
25/02/2020,4860000000000000,BEL16,HSBC012,TRN61189,24076,"cash to account,credit/debit card service",25/02/2020,13/03/2020,PMT-101189,24441,24076,365,"cash to account,credit/debit card service",Approved
25/12/2019,4260000000000000,MAJ962,CITI012,CCS61190,27959,account to account,25/12/2019,28/12/2019,PMT-101190,28744,27959,785,account to account,Rejected
21/03/2019,4880000000000000,SIL362,HSBC012,EX061191,17559,"account,cash to cash",25/03/2019,13/04/2019,PMT-101191,18303,17559,744,"account,cash to cash",Approved
17/05/2019,4387350758070690,SIL362,UBS012,ADB61192,29060,"cash to cash,credit/debit card service",28/05/2019,09/06/2019,PMT-101192,29471,29060,411,"cash to cash,credit/debit card service",Approved
30/12/2018,4400000000000000,GPA01,MS012,CCS61193,21155,cash to account,09/01/2019,05/01/2019,PMT-101193,21753,21155,598,cash to account,Rejected
07/01/2020,4879302596918820,BEL16,Nort012,CCS61194,15322,"bank account transfer,debit card",31/12/2019,20/01/2020,PMT-101194,15376,15322,54,"bank account transfer,debit card",Approved
31/10/2019,4730000000000000,ITS03,Nort012,EX061195,15585,"account to account,door to door",15/11/2019,29/11/2019,PMT-101195,15752,15585,167,"account to account,door to door",Approved
11/01/2020,4523540557614720,CCS08,MS012,ADB61196,8360,account to account,25/01/2020,01/02/2020,PMT-101196,9347,8360,987,account to account,Rejected
21/07/2019,4904477933916270,BEL16,DEU012,TRN61197,15520,account to account,31/07/2019,05/08/2019,PMT-101197,15782,15520,262,account to account,Rejected
30/12/2018,4689180256780640,PAN27,BOA012,CCS61198,19813,eur service,10/01/2019,30/01/2019,PMT-101198,20566,19813,753,eur service,Approved
10/09/2019,4850000000000000,GPA01,GMS012,EX061199,27516,cash to account,15/09/2019,04/10/2019,PMT-101199,28284,27516,768,cash to account,Rejected
18/06/2019,4500000000000000,MAR263,MUFG012,ADB61200,15035,"account,cash to cash",25/06/2019,08/07/2019,PMT-101200,15576,15035,541,"account,cash to cash",Rejected
04/08/2019,4430000000000000,BEL16,BARC012,CCS61201,34897,"cash,debit/credit card",15/08/2019,23/08/2019,PMT-101201,35029,34897,132,"cash,debit/credit card",Rejected
15/07/2019,4450000000000000,ITS03,HSBC012,TRN61202,6219,cash,15/07/2019,23/07/2019,PMT-101202,7030,6219,811,cash,Rejected
15/09/2019,4500000000000000,PAN27,HSBC012,EX061203,18723,mobile money,15/09/2019,27/09/2019,PMT-101203,19247,18723,524,mobile money,Rejected
13/11/2019,4410000000000000,MAR263,UBS012,ADB61204,33419,door to account,15/11/2019,24/11/2019,PMT-101204,34011,33419,592,door to account,Approved
07/08/2019,4260000000000000,ITS03,GMS012,CCS61205,16814,"account,card,cash to cash",25/08/2019,08/09/2019,PMT-101205,17040,16814,226,"account,card,cash to cash",Approved
15/06/2019,4450000000000000,MAJ962,DEU012,CCS61206,10721,"account,cash to account",15/06/2019,24/06/2019,PMT-101206,11228,10721,507,"account,cash to account",Rejected
10/05/2019,4250000000000000,PAN27,AE012,TRN61207,36628,usd service,25/05/2019,04/06/2019,PMT-101207,36915,36628,287,usd service,Approved
10/04/2019,4190000000000000,HEB18,MUFG012,ADB61208,24959,door to account,15/04/2019,22/04/2019,PMT-101208,25910,24959,951,door to account,Rejected
07/06/2019,4360000000000000,ITS03,RBC012,CCS61209,4546,cash,25/06/2019,10/07/2019,PMT-101209,5114,4546,568,cash,Rejected
10/07/2019,4850000000000000,MAR263,GMS012,CCS61210,17493,"cash to account,credit/debit card service",25/06/2019,02/07/2019,PMT-101210,17839,17493,346,"cash to account,credit/debit card service",Approved
19/11/2019,4420000000000000,HEB18,BMO012,EX161211,31108,account to account,28/11/2019,05/12/2019,PMT-101211,31378,31108,270,account to account,Approved
27/09/2019,4210000000000000,SIL362,RBC012,TRN61212,6871,cash,15/10/2019,25/10/2019,PMT-101212,7308,6871,437,cash,Rejected
20/03/2019,4387350758070690,ITS03,MUFG012,CCS61213,26818,"cash to account,credit/debit card service",28/03/2019,16/04/2019,PMT-101213,27439,26818,621,"cash to account,credit/debit card service",Rejected
10/06/2019,4696544390601290,GPA01,BOA012,TRN61214,32061,"account to account,door to door",15/06/2019,28/06/2019,PMT-101214,32239,32061,178,"account to account,door to door",Approved
22/01/2020,4300000000000000,PAN27,GMS012,TRN61215,22596,"cash,cash to account",25/01/2020,08/02/2020,PMT-101215,23451,22596,855,"cash,cash to account",Rejected
15/08/2019,4357820946481790,SIL362,BOA012,EX161216,9907,mobile,15/08/2019,03/09/2019,PMT-101216,10123,9907,216,mobile,Approved
29/12/2019,4465487619421600,PAN27,RBC012,ADB61217,15008,"cash to cash,credit/debit card service",02/01/2020,18/01/2020,PMT-101217,15477,15008,469,"cash to cash,credit/debit card service",Approved
21/05/2019,4489858858391470,HEB18,BMO012,CCS61218,35104,"account,card,cash to cash",28/05/2019,24/05/2019,PMT-101218,35884,35104,780,"account,card,cash to cash",Rejected
15/07/2019,4750000000000000,CCS08,MS012,TRN61219,11491,door to door,15/07/2019,27/07/2019,PMT-101219,12203,11491,712,door to door,Rejected
15/11/2019,4750000000000000,ITS03,BMO012,CCS61220,4364,mobile money,15/11/2019,25/11/2019,PMT-101220,5324,4364,960,mobile money,Approved
31/07/2019,4280000000000000,ITS03,AE012,EX061221,3496,"card,cash to cash",31/07/2019,16/08/2019,PMT-101221,3789,3496,293,"card,cash to cash",Approved
17/12/2019,4320000000000000,ITS03,WF012,ADB61222,24852,"card,cash to cash",25/12/2019,13/01/2020,PMT-101222,24961,24852,109,"card,cash to cash",Approved
28/06/2019,4400000000000000,CCS08,Nort012,CCS61223,38905,cash,28/06/2019,06/07/2019,PMT-101223,39145,38905,240,cash,Approved
25/06/2019,4750000000000000,CCS08,CITI012,TRN61224,14505,"account to account,door to door",25/06/2019,10/07/2019,PMT-101224,15301,14505,796,"account to account,door to door",Approved
12/06/2019,4250000000000000,CCS08,MS012,TRN61225,37688,"account,cash to account",28/06/2019,30/06/2019,PMT-101225,38287,37688,599,"account,cash to account",Rejected
26/12/2018,4730000000000000,BEL16,JPM012,CCS61226,27917,"bank account transfer,debit card",03/01/2019,14/01/2019,PMT-101226,28338,27917,421,"bank account transfer,debit card",Rejected
25/11/2019,4540000000000000,MAJ962,WF012,TRN61227,8872,"cash,debit/credit card",28/11/2019,05/12/2019,PMT-101227,9626,8872,754,"cash,debit/credit card",Approved
09/02/2020,4879302596918820,CCS08,BOA012,EX061228,36331,"account,cash to account",25/01/2020,02/02/2020,PMT-101228,36597,36331,266,"account,cash to account",Approved
15/09/2019,4458237294973340,MAJ962,BOA012,TRN61229,38893,"cash,debit/credit card",15/09/2019,11/09/2019,PMT-101229,39098,38893,205,"cash,debit/credit card",Approved
18/05/2019,4160000000000000,BEL16,BARC012,CCS61230,2880,"account,card,cash to cash",28/05/2019,02/06/2019,PMT-101230,3703,2880,823,"account,card,cash to cash",Rejected
21/08/2019,4430000000000000,HEB18,BMO012,TRN61231,22582,"bank account transfer,debit card",25/08/2019,13/09/2019,PMT-101231,23533,22582,951,"bank account transfer,debit card",Approved
20/12/2019,4378290266829730,CCS08,UBS012,EX061232,4538,"account,cash to cash",25/12/2019,04/01/2020,PMT-101232,5262,4538,724,"account,cash to cash",Rejected
20/01/2020,4502644813502350,MAR263,MS012,TRN61233,30202,usd service,20/01/2020,31/01/2020,PMT-101233,30532,30202,330,usd service,Approved
15/01/2020,4523540557614720,PAN27,BNP012,CCS61234,9566,mobile,15/01/2020,22/01/2020,PMT-101234,10509,9566,943,mobile,Approved
25/09/2019,4160000000000000,GPA01,MUFG012,CCS61235,25537,"account,account to cash",25/09/2019,11/10/2019,PMT-101235,26229,25537,692,"account,account to cash",Rejected
16/06/2019,4450000000000000,CCS08,DEU012,TRN61236,19784,"bank account transfer,debit card",25/06/2019,02/07/2019,PMT-101236,20157,19784,373,"bank account transfer,debit card",Approved
11/03/2019,4500000000000000,BEL16,AE012,ADB61237,17172,"bank account transfer,debit card",28/03/2019,07/04/2019,PMT-101237,17582,17172,410,"bank account transfer,debit card",Approved
